_question,_answer,service
问：什么是 AWS Identity and Access Management (IAM)？,IAM 提供涵盖整个 AWS 的精细访问控制。借助 IAM，您可以控制在特定条件下对服务和资源的访问。使用 IAM 策略来管理您的员工和系统的权限，以确保 最低权限。IAM 不另外收取费用。有关更多信息，请参阅 什么是 IAM？,IAM
问：IAM 是如何工作的，可以用来做什么？,IAM 为 AWS 服务提供身份验证和授权。服务会评估允许还是拒绝 AWS 请求。默认情况下拒绝访问，只有在策略明确授予访问权限时才允许访问。您可以将策略附加到角色和资源以控制跨 AWS 的访问。有关更多信息，请参阅 了解 IAM 的工作方式,IAM
问：什么是最低权限？,使用 IAM 策略设置权限时，仅授予执行任务所需的权限。此实践称为 授予最低权限。 您可以通过定义可在特定条件下对特定资源执行的操作，在 IAM 中应用最低权限。有关更多信息，请参阅 适用于 AWS 资源的 Access Management。,IAM
问：如何开始使用 IAM？,要开始使用 IAM 管理 AWS 服务和资源的权限，请创建 IAM 角色并为其授予权限。对于 员工用户，创建可由您的身份提供商代入的角色。对于系统，创建可由您正在使用的服务代入的角色，如 Amazon EC2 或 AWS Lambda。创建角色后，您可以将策略附加到角色以授予满足您需求的权限。刚开始时，您可能不知道需要的特定权限，因此您可以从更广泛的权限开始。 AWS 托管式策略提供可帮助您入门的权限，并且适用于所有 AWS 账户。然后，通过定义特定于您的使用案例的 客户托管式策略来进一步减少权限。您可以在 IAM 控制台中或通过 AWS API 或 AWS CLI 创建和管理策略与角色。有关更多信息，请参阅 IAM 入门。,IAM
问：什么是 IAM 角色以及它们如何运作？,AWS Identity and Access Management (IAM) 角色提供了一种依赖临时安全凭证访问 AWS 的方法。每个角色都有一组发出 AWS 服务请求的权限，并且角色未与特定用户或组关联。相反，身份提供商或 AWS 服务等可信实体代入角色。有关更多信息，请参阅 IAM 角色。,IAM
问：为什么应该使用 IAM 角色？,您应该使用 IAM 角色通过依赖短期凭证来授予对您的 AWS 账户的访问权限，这是一种安全最佳实践。授权身份（可以是 AWS 服务或来自您的身份提供商的用户）可以代入发出 AWS 请求的角色。要向角色授予权限，请将 IAM 策略附加到该角色。有关更多信息，请参阅针对角色的常见情形。,IAM
问：什么是 IAM 用户，我仍应使用它们吗？,IAM 用户是具有长期凭证的身份。您可以将 IAM 用户用于员工用户。在这种情况下，AWS 建议使用身份提供商并通过代入角色联合到 AWS。您还可以使用角色授予对 AWS Lambda 函数等服务和功能的跨账户访问权限。在某些情况下，您可能需要 IAM 用户提供具有长期凭证的访问密钥，以访问您的 AWS 账户。对于这些情况，AWS 建议使用 IAM 访问上次使用的信息来经常轮换凭证并删除未使用的凭证。有关更多信息，请参阅 AWS 身份管理概述：用户。,IAM
问：什么是 IAM 策略？,IAM 策略为您附加它们的实体定义权限。例如，要授予对 IAM 角色的访问权限，请将策略附加到此角色。策略中定义的权限确定是允许还是拒绝请求。您还可以将策略附加到某些资源（例如 Amazon S3 存储桶）以授予直接的跨账户访问权限。您可以将策略附加到 AWS 企业或企业单位，以限制跨多个账户的访问权限。AWS 在 IAM 角色发出请求时评估这些策略。有关更多信息，请参阅基于身份的策略。,IAM
问：如何使用 IAM 授予对服务和资源的访问权限？,要使用 AWS Identity and Access Management (IAM) 授予对服务和资源的访问权限，请将 IAM 策略附加到角色或资源。您可以从附加 AWS 托管式策略开始，这些策略由 AWS 拥有和更新，并且在所有 AWS 账户中都可用。如果您知道使用案例所需的特定权限，则可以创建客户托管式策略并将它们附加到角色。一些 AWS 资源提供了一种通过定义附加到资源（例如 Amazon S3 存储桶）的策略来授予访问权限的方法。这些基于资源的策略允许您授予对其所附加资源的直接的跨账户访问权限。有关更多信息，请参阅 适用于 AWS 资源的 Access Management。,IAM
问：如何创建 IAM 策略？,要将权限分配给角色或资源，请创建一个策略，此策略是定义权限的 JavaScript 对象表示法 (JSON) 文档。此文档包括授予或拒绝访问特定服务操作、资源和条件的权限声明。创建策略后，您可以将其附加到一个或多个 AWS 角色以向您的 AWS 账户授予权限。要授予对资源（例如 Amazon S3 存储桶）的直接的跨账户访问权限，请使用基于资源的策略。在 IAM 控制台或通过 AWS API 或 AWS CLI 创建您的策略。有关更多信息，请参阅创建 IAM 策略。,IAM
问：什么是 AWS 托管式策略，我应在何时使用？,AWS 托管式策略由 AWS 创建和管理，涵盖常见使用案例。 开始时，您可以使用 AWS 托管式策略授予更广泛的权限，这些策略在您的 AWS 账户中可用并且在所有 AWS 账户中通用。然后，当您优化您的要求时，可以通过定义特定于您的使用案例的客户托管式策略来减少权限，从而实现最低权限。有关更多信息，请参阅 AWS 托管式策略。,IAM
问：什么是客户托管式策略，我应在何时使用？,要仅授予执行任务所需的权限，您可以创建特定于您的使用案例和资源的客户托管式策略。使用客户托管式策略来继续优化您的特定要求的权限。有关更多信息，请参阅客户托管式策略。,IAM
